Code,ProductName,Category,SubCategory,StoreQuantity,FloorQuantity,Notes,ValueConsidered
9996,Le Rivage CC à Payer,Administration,2135-00,,,,0.0
111100000004,Retrait,Administration,2135-00,,,,0.0
5168,Activpeel Phyts,Boutique,4040-00,,,,0.0
111100000012,BB Crème Hydratante SPF 30 40g,Boutique,4040-00,,,,0.0
5180,Concentré Anti-Taches Phyts,Boutique,4040-00,,,,40.7
5179,Crème Absolue Phyts,Boutique,4040-00,,,,39.668693
5171,Crème Anti-âge nuit Phyts,Boutique,4040-00,,,,45.65
5169,Crème Capyl Phyts,Boutique,4040-00,,,,11.697216
5166,Crème solaire sachet,Boutique,4040-00,,,,0.0
5177,Elixir Hydratant 24h Aqua Phyts,Boutique,4040-00,,,,18.952764
111100000006,Ensemble Bain,Boutique,4040-00,,,,39.0
5170,Fluide Aromaclear Phyts,Boutique,4040-00,,,,31.9
111100000011,Fluide Protecteur Solaire SPF 50 100ml,Boutique,4040-00,,,,0.0
111100000010,Fluide protecteur SPF 30 75ml,Boutique,4040-00,,,,0.0
5163,Gant Exfoliant Corps Phyts,Boutique,4040-00,,,,15.5
5167,Gel Pureté Visage Phyts,Boutique,4040-00,,,,0.0
5159,Gommage Contact + Phyts,Boutique,4040-00,,,,0.0
5160,Lait Hydro-nettoyant Phyts,Boutique,4040-00,,,,0.0
5176,Lotion Démaquillante Yeux Phyts,Boutique,4040-00,,,,15.68
111100000029,Maillot Bain Femmes - Finlandais - Large,Boutique,4040-00,,,,25.0
111100000028,Maillot Bain Femmes - Finlandais - Medium,Boutique,4040-00,,,,25.0
111100000025,Maillot Bain Femmes - Finlandais - Small,Boutique,4040-00,,,,25.0
111100000030,Maillot Bain Femmes - Finlandais - XLarge,Boutique,4040-00,,,,25.0
5172,Masque Anti-Rides Fermeté Phyts,Boutique,4040-00,,,,0.0
5162,Masque Gommant Pureté Phyts,Boutique,4040-00,,,,11.848732
5161,Masque Hydra Instant Phyts,Boutique,4040-00,,,,8.979884
9015,Masque Vitalité 200g,Boutique,4040-00,,,,0.0
5178,Naturollon Phyts,Boutique,4040-00,,,,10.066152
9007,Natur'peel 100g,Boutique,4040-00,,,,0.0
5175,Sac Cadeau,Boutique,4040-00,,,,0.0
5204,Sac de sport,Boutique,4040-00,,,,0.0
5158,Savon en barre,Boutique,4040-00,,,,5.666667
5164,Soin Hydra Protecteur Phyts,Boutique,4040-00,,,,0.0
5165,Soin Matifiant Phyts,Boutique,4040-00,,,,0.0
5213,Tapis Russe,Boutique,4040-00,,,,0.0
111100000018,Tasse Thé Gaiwan,Boutique,4040-00,,,,0.0
111100000015,Thé Nuit Étoilée 65gr,Boutique,4040-00,,,,0.0
5022,Tongs (Men) Large,Boutique,4040-00,,,,0.848231
5020,Tongs (Men) Small,Boutique,4040-00,,,,0.881341
5025,Tongs (Women) Large,Boutique,4040-00,,,,3.515211
5024,Tongs (Women) Medium,Boutique,4040-00,,,,4.4
5023,Tongs (Women) Small,Boutique,4040-00,,,,0.84151
5203,Tuque blanche avec pompom,Boutique,4040-00,,,,0.0
5209,Tuque revente Grise,Boutique,4040-00,,,,0.0
5211,Tuque revente marine,Boutique,4040-00,,,,8.0
5210,Tuque revente noire,Boutique,4040-00,,,,7.992072
9997,Postal fees,Courrier,4420-01,,,,0.0
801,Bouteille dEau / Bottle of Water,Eau,4059-00,,,,0.018293
JTS,All Day Thermal Exp - Mon-Thu,Experience Thermale,4010-00,,,,0.0
JTFS,All-Day Thermal Experience - Fri- Sun,Experience Thermale,4010-00,,,,0.0
IET,Invité employé,Experience Thermale,4010-00,,,,0.0
RETS,Remb. ET Lun-Jeu,Experience Thermale,4010-00,,,,0.0
RETFS,Remb. ET Ven-Dim,Experience Thermale,4010-00,,,,0.0
RJTS,Remb. JT Lun-Jeu,Experience Thermale,4010-00,,,,0.0
RJTFS,Remb. JT Ven-Dim,Experience Thermale,4010-00,,,,0.0
ETFS,Thermale Experience - Fri-Sun,Experience Thermale,4010-00,,,,0.0
ETS,Thermale Experience - Mon-Thu,Experience Thermale,4010-00,,,,0.0
802,Eau-Locations 1 Pers./Water-Locations 1 Pers.,Locations,4045-00,,,,0.0
8228,Échange/extra serviette,Locations,4045-00,,,,0.0
806,Location Peignoir,Locations,4045-00,,,,0.0
805,Location Serviette,Locations,4045-00,,,,0.0
807,Location Serviette & Peignoir,Locations,4045-00,,,,0.0
111100000002,Ajustement Soins RS,Massothérapie,4020-00,,,,0.0
9005,Gommage Contact + 100g,Produits Cabine,4040-00,,,,0.0
9008,Gommage White B-Act 100g,Produits Cabine,4040-00,,,,0.0
CLOVER-GHOST-01,Retour Bistro,Retour Bistro,4111-00,,,,0.0
